Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,TEI-TEO,TCO-TCI,fault level,Label,Condition block
113.6,50,64.61,65.3,64.68,64.8,64.94,64.8,65.06,65,65.15,65.12,64.75,65.15,1.353,1.068,0.4161,2.005,0.6035,0.6488,3.588,4.84,1.68e-45,2.122,1.68e-45,268.5,215.5,0.2,0,64.8,64,64.9,64.1,0,82,17.2,71.1,6,0.1,0,0,-1.242,-26.1,23.27,6,0,102.7,85.3,59.1,0,0.2,0.3,0,0,100,100,57,56,30,64.2,65.2,65.58,65.64,25.63,86.11,252.9,-0.07,0.1200000000000045,Normal,100,2
123.6,50,64.73,65.3,64.76,65,64.94,65,65.02,64.8,65.11,65.08,64.83,65.15,0.8935,1.066,0.414,1.545,0.2335,0.6448,2.832,3.711,1.68e-45,0.8211,1.68e-45,268,214.1,0.3,0,64.7,63.8,64.9,64.1,0,82,17.1,71.1,6.2,0,0,0,0,0,23.27,6,0,102.7,85.3,59.6,0,0,0.3,0,0,100,100,57,56,30,64.49,65.08,65.58,65.6,25.58,67.98,252.5,-0.03,0.0799999999999983,Normal,100,2
133.6,50,64.82,65.3,64.84,65,64.98,65,65.06,65,65.11,65.04,64.91,65.23,0.9006,0.6135,0.879,0.6351,0.2345,0.647,2.845,3.726,1.68e-45,0.8246,1.68e-45,270.1,215,0.3,0,64.7,63.8,64.5,63.6,0,81.8,16.9,70.9,6.6,0,0,0,0,0,23.27,6,0,102.7,85.4,59.6,0,0,0.2,0,0,100,100,57,56,30,64.86,64.99,65.53,65.56,14.72,68.27,254.6,-0.02,0.0799999999999983,Normal,100,2
143.6,50,64.9,65.3,64.92,65,65.02,65,65.06,65.1,65.15,65.08,65,65.27,0.4388,1.072,0.8765,0.6345,0.2329,0.6416,2.454,3.329,1.68e-45,0.8189,1.68e-45,269.6,213,0.3,0,64.8,64,64.5,63.6,0,82,17.2,70.9,6.2,0,0,0,0,0,23.27,6,0,102.8,85.4,60.1,0,0.1,0.2,0,0,100,100,57,56,30,65.19,65.08,65.58,65.56,25.73,58.9,254.2,-0.02,0.0400000000000062,Normal,100,2
153.6,50,65.02,65.4,65.01,65.1,65.02,65,65.1,65.1,65.15,65.08,65.04,65.31,0.8969,0.6109,0.8747,0.6332,0.131,0.2802,2.472,2.621,1.68e-45,0.4604,1.68e-45,269,214.5,0.2,0,64.9,64.1,64.5,63.6,0,82,17.1,71.1,6.6,0,0,0,0,0,23.27,6,0,102.8,85.4,59.6,0,0,0.3,0,0,100,100,57,56,30,65.31,65.16,65.53,65.56,14.66,59.33,262.3,0.0099999999999909,0.0799999999999983,Normal,100,2
2574,49,60.48,60.5,50.39,50.3,85.49,85.1,95.07,94.8,92.34,77.32,59.63,60.61,105.6,30.09,165.6,-90.11,90.71,83.13,8.747,1.164,83.89,3.802,0.9248,264.6,215.8,8.2,6.1,42.1,37.2,100.9,126.1,10,46.8,4.8,124.7,23.8,88.5,100,96,31.51,8.487,5.11,20,0,116.4,111.3,143.9,106.5,9.5,10.4,70,0,100,46,49,56,28,55.81,79.49,66.52,63.47,30.5,68.88,131.8,10.089999999999996,9.579999999999998,Normal,100,3
3734,50,56.79,57.1,50.63,50.6,85.08,84.8,90.94,90.7,89.31,69.62,56.6,56.92,65.6,18.2,220.7,-173.3,54.87,53.19,2.83,1.154,57.36,3.363,1.045,269,213.9,7.8,3,42.8,37.9,93.7,111.7,6.8,48.7,5.8,129,35,74.2,67,64,19.65,8.52,8.015,20,0,117.6,112.7,142.4,103.4,5.9,6.5,44.58,0,100,25,49,56,20,56.1,80.76,58.66,57.82,17.71,67.93,204.1,6.159999999999997,5.859999999999999,Normal,100,4
3744,50,56.79,57.2,50.63,50.8,85.08,84.9,90.98,90.8,89.31,69.62,56.6,56.96,65.94,18.63,220.3,-173,55.23,53.54,3.217,1.529,57.34,3.387,1.038,268.5,215.3,7.7,3.5,42.9,38,94.3,112.7,6.3,48.5,5.6,128.7,34.7,74.7,67,64,19.7,8.498,8.015,20,0,117.8,112.7,140.4,101.4,6,6.6,44.75,0,100,25,49,56,23,56.1,80.76,58.66,57.86,18.13,77.2,203.2,6.159999999999997,5.900000000000006,Normal,100,4
3754,50,56.79,57.1,50.63,50.6,85.12,84.8,90.98,90.8,89.35,69.58,56.6,56.96,65.47,18.17,221.2,-173.9,55.06,53.38,3.207,1.524,57.34,3.376,1.041,268.5,214.7,7.7,3.3,42.9,38,93.7,112.2,6,48.7,5.6,128.7,35.3,74.2,67,64,20.74,9.011,8.015,20,0,117.8,112.9,141.9,102.9,5.6,6.5,44.92,0,100,25,49,56,20,56.1,80.76,58.7,57.82,17.68,76.96,203.7,6.159999999999997,5.859999999999999,Normal,100,4
3764,50,56.79,57.1,50.63,50.8,85.08,84.9,90.98,90.8,89.35,69.58,56.6,56.96,65.99,18.19,221.4,-173.6,55.17,53.49,3.213,1.527,57.34,3.383,1.039,268.7,215.1,7.9,3.5,42.9,38,94.3,112.7,6.6,48.5,5.6,128.7,34.2,73.7,67,64,19.29,8.315,8.015,20,0,117.6,112.7,142.4,102.9,5.9,6.3,45.08,0,100,25,49,56,23,56.1,80.8,58.66,57.82,17.67,77.11,203.8,6.159999999999997,5.900000000000006,Normal,100,4
3774,50,56.79,56.9,50.63,50.6,85.08,85.1,90.94,90.8,89.31,69.58,56.6,56.96,65.4,18.15,220.5,-173.2,54.89,53.21,3.197,1.519,57.42,3.361,1.046,268.1,214,7.7,3.2,42.9,38,94,112.2,6.6,48.7,5.8,128.7,34.4,74.2,67,64,20.48,8.906,8.015,20,0,117.8,112.9,140.9,101.7,5.9,6.3,45.25,0,100,25,49,56,23,56.1,80.8,58.7,57.86,17.63,76.72,203.4,6.159999999999997,5.859999999999999,Normal,100,4
3784,50,56.79,57.1,50.59,50.6,85.12,84.8,90.94,90.8,89.31,69.58,56.56,56.96,64.8,18.11,220,-173.3,55.44,53.39,3.574,1.524,57.34,3.399,1.034,267.6,214.7,7.5,3.3,43.1,38.2,94,112.2,6.3,48.7,5.8,128.7,34.7,74.2,67,64,24.44,10.73,8.015,20,0,117.6,112.7,143.4,104.9,5.9,6.5,45.42,0,100,25,49,56,20,56.1,80.84,58.7,57.86,17.56,85.77,202.6,6.199999999999996,5.819999999999993,Normal,100,4
3794,50,56.79,56.9,50.63,50.8,85.08,84.8,90.94,90.7,89.31,69.58,56.6,56.92,65.22,18.1,219.9,-172.7,54.9,53.23,2.832,1.154,57.41,3.362,1.046,267.4,214,7.9,3.3,43.1,38.2,94,112.2,6.8,48.5,5.6,128.7,35,75.2,66,63,21.14,9.22,8.116,20,0,117.6,112.9,140.9,101.6,5.9,6.1,45.59,0,100,25,49,56,20,56.1,80.84,58.7,57.86,17.55,67.97,202.7,6.159999999999997,5.859999999999999,Normal,100,4
3804,50,56.79,56.9,50.59,50.6,85.08,84.9,90.94,90.8,89.31,69.62,56.56,56.92,65.01,18.04,218.7,-171.7,55.89,53.82,3.233,1.167,57.38,3.425,1.027,266.5,216.4,8,3.2,42.8,37.9,94,112.2,6.6,48.5,5.6,129,35,74.5,67,64,25.33,11.08,8.015,20,0,117.6,112.7,140.4,102.6,5.9,6.5,45.75,0,100,25,49,56,23,56.1,80.8,58.74,57.86,17.53,77.6,200.9,6.199999999999996,5.859999999999999,Normal,100,4
3814,50,56.79,56.9,50.59,50.6,85.08,84.8,90.98,90.8,89.35,69.58,56.56,56.96,65.78,18.13,220.6,-173,55.58,53.53,3.583,1.528,57.43,3.403,1.033,267.8,215.2,7.5,3.3,43.1,38.2,94,112.2,6.8,48.5,5.6,128.7,34.4,74.2,67,64,21.58,9.331,8.015,20,0,117.8,112.9,142.4,103.1,5.8,6.3,45.92,0,100,25,49,56,20,56.1,80.84,58.74,57.9,17.58,85.99,202.9,6.199999999999996,5.900000000000006,Normal,100,4
3824,50,56.79,56.9,50.63,50.4,85.12,84.9,90.98,90.7,89.35,69.62,56.6,56.96,65.03,18.04,219.2,-172.2,55.43,53.74,3.228,1.534,57.33,3.4,1.034,266.6,216.1,7.5,3.3,42.9,38,94,112.2,6.3,48.5,5.4,128.7,34.7,74.2,67,64,23.59,10.32,8.015,20,0,117.8,112.9,140.4,101.6,5.8,6.3,56.09,0,100,25,49,56,23,56.1,80.88,58.74,57.86,17.47,77.48,201.3,6.159999999999997,5.859999999999999,Normal,100,4
3834,50,56.79,56.9,50.59,50.4,85.12,84.9,90.98,90.7,89.35,69.62,56.6,56.96,65.58,18.2,221.1,-173.7,56.01,54.31,3.24,1.54,57.34,3.435,1.024,268.9,216.9,7.5,3.3,43.1,38.2,94,112.2,6.3,48.7,5.8,128.7,34.7,74,67,64,23.72,10.29,8.015,20,0,117.8,112.9,140.4,103.4,5.8,6.7,56.26,0,100,25,49,56,23,56.1,80.92,58.74,57.9,17.59,77.77,202.8,6.199999999999996,5.859999999999999,Normal,100,4
3844,50,56.79,57.1,50.63,50.8,85.12,84.9,90.98,90.7,89.39,69.66,56.6,56.96,65.45,17.71,220.7,-172.9,55.15,53.46,3.212,1.526,57.46,3.374,1.042,268.4,215,7.5,3.6,43.1,38.2,94.3,112.7,6.8,48.7,5.6,128.7,34,74.5,67,64,21.21,9.218,8.015,20,0,117.8,112.9,140.9,102.1,5.8,6.5,46.42,0,100,25,49,56,23,56.1,80.96,58.74,57.9,17.09,77.08,203.4,6.159999999999997,5.859999999999999,Normal,100,4
3854,50,56.83,56.9,50.63,50.6,85.16,84.8,90.98,90.7,89.39,69.66,56.6,56.96,64.85,17.66,220.1,-173,56,53.93,3.24,1.17,57.46,3.427,1.026,267.8,216.9,7.7,3.3,43.1,38.2,94,112.2,6.3,48.7,5.6,128.7,35,74.5,67,64,26.34,11.55,8.015,20,0,117.8,112.9,141.4,102.7,5.8,6.3,46.59,0,100,25,49,56,20,56.14,81,58.86,57.9,17.05,77.75,202.2,6.199999999999996,5.820000000000007,Normal,100,4
3864,50,56.79,57.1,50.63,50.8,85.12,84.8,90.98,90.8,89.35,69.66,56.6,57,65.32,18.13,219.7,-172.6,55.29,53.6,3.588,1.898,57.41,3.386,1.038,267.8,215.5,7.7,3.7,42.9,38,94.5,113.2,6.2,48.5,5.6,129,34.2,74.5,67,64,22.14,9.64,8.015,20,0,117.8,112.9,142.4,102.9,5.9,6.5,46.76,0,100,25,49,56,20,56.1,80.96,58.9,57.94,17.5,86.1,202.5,6.159999999999997,5.859999999999999,Normal,100,4
3874,50,56.79,57.1,50.63,50.6,85.12,84.9,90.98,90.8,89.39,69.66,56.6,56.96,65.27,17.66,220,-172.4,55.25,53.56,3.218,1.529,57.35,3.387,1.038,267.6,215.4,7.5,3.2,43.1,38.2,94,112.2,6.6,48.5,5.4,129,34.4,74.7,67,64,22.11,9.636,8.015,20,0,117.8,112.9,140.9,102.4,5.7,6.5,46.93,0,100,25,49,56,23,56.14,80.92,58.94,57.94,17.1,77.19,202.5,6.159999999999997,5.859999999999999,Normal,100,4
3884,50,56.83,57.1,50.59,50.6,85.12,84.9,90.98,90.8,89.35,69.66,56.6,57,65.51,18.18,220.4,-173,55.83,53.78,3.575,1.525,57.42,3.419,1.028,268.6,214.8,7.7,3.7,43.1,38.2,94.3,112.7,6.6,48.5,5.4,128.7,34.4,75,67,64,23.4,10.16,8.015,20,0,117.6,112.9,140.9,102.1,5.9,6.3,47.09,0,100,25,49,56,23,56.14,80.92,58.98,57.98,17.6,85.77,203,6.239999999999995,5.859999999999999,Normal,100,4
3894,50,56.83,57.1,50.63,50.6,85.16,85.1,90.98,90.8,89.39,69.66,56.6,57,65.15,17.75,221.2,-173.8,55.81,53.75,3.598,1.535,57.45,3.416,1.029,269,216.1,7.5,3.5,43.1,38.2,94.3,112.7,6.3,48.5,5.6,129,34.7,74.2,67,64,24.59,10.73,8.015,20,0,117.8,112.9,140.4,126.7,5.7,6.5,47.26,0,100,25,49,56,23,56.14,80.96,59.02,57.98,17.16,82.91,203.7,6.199999999999996,5.820000000000007,Normal,100,4
3904,50,56.87,57.1,50.63,50.6,85.16,84.9,91.02,90.8,89.39,69.66,56.6,57,65.39,18.14,220.4,-173.2,55.71,53.3,3.568,1.156,57.46,3.409,1.031,268.1,214.3,7.7,3.2,43.1,38.2,94,112.2,6.6,48.7,5.6,128.7,34.4,73.5,67,64,23.44,10.2,8.015,20,0,118.1,112.9,142.9,104.1,5.9,6.3,47.43,0,100,25,49,56,23,56.14,80.96,59.02,58.02,17.54,85.59,203.3,6.239999999999995,5.859999999999999,Normal,100,4
6025,50,53.76,53.9,50.39,50.4,85.16,84.9,88.48,88.3,87.14,61.43,53.57,53.85,37.1,14.97,287.8,-265.6,30.33,28.64,2.488,0.7963,42.55,2.506,1.403,268.6,215.9,6.5,2,43.8,39,90.2,104.7,4.7,49.8,6.4,145.8,55.2,65.7,49,47,18.75,14.37,9.926,20,0,122.2,116,139.4,99.3,3.2,3.6,40,0,100,5,49,56,20,56.47,80.31,55.22,54.63,15.07,59.71,241.9,3.369999999999997,3.3200000000000074,Normal,100,5
6034,50,53.76,53.9,50.39,50.3,85.16,84.9,88.48,88.3,87.18,61.43,53.61,53.89,37.1,14.51,288.2,-265.6,30.24,28.92,2.48,1.161,42.54,2.499,1.407,268.6,215.2,6.6,1.9,43.8,39,90.2,104.7,4.4,49.8,6.2,145.4,55.6,65.7,49,47,18.43,14.13,9.926,20,0,122,116,141.4,101.3,3.5,3.5,40,0,100,5,49,56,20,56.43,80.31,55.22,54.63,14.58,59.53,241.7,3.369999999999997,3.3200000000000074,Normal,100,5
6255,50,53.68,53.8,50.35,50.1,85.16,85.1,88.48,88.3,87.18,61.39,53.49,53.85,37.11,14.52,288.8,-266.2,29.84,28.15,3.211,1.527,42.54,2.466,1.426,268.7,215,6.3,2.2,44,39.2,90.5,105.2,4.2,49.8,5.8,145.8,55.2,65.5,49,47,16.96,12.99,9.926,20,0,122.7,116.7,140.4,100.4,3.4,3.5,40,0,100,5,49,56,20,56.47,80.23,55.13,54.54,14.66,77.07,242.5,3.3299999999999983,3.3200000000000074,Normal,100,5
11800,50,52.9,53,50.18,50.3,75.17,75.2,77.96,77.9,76.78,58.69,52.67,53.07,30.98,13.07,201.5,-183.6,24.35,22.3,3.58,1.527,35.13,2.437,1.443,267.2,215.1,6,1.9,44.1,39.3,79.8,86.4,3.3,49.8,5.7,143.2,63.4,46.7,40,39,11.82,10.86,11.04,20,0,121.5,116,135,95,2.9,2.9,45,0,100,10,47,56,27.07,55.77,70.32,54.6,53.93,21.56,85.91,237.7,2.719999999999999,2.789999999999992,Normal,100,6
11800,50,52.86,53,50.14,50.3,75.17,75,77.96,77.9,76.78,58.73,52.71,53.07,30.88,13.03,200.4,-182.5,24.36,23.04,3.213,1.895,35.13,2.438,1.442,266.4,215.1,6,1.3,44,39.2,79.2,85.4,3.3,50,6,143,64,46.1,40,39,12.19,11.22,11.04,20,0,121.2,116.2,135.5,94.5,2.7,2.9,45,0,100,10,47,56,23.05,55.81,70.4,54.6,53.93,21.43,77.11,235.7,2.719999999999999,2.789999999999992,Normal,100,6
11800,50,52.9,53,50.14,50.1,75.17,75,77.96,77.9,76.78,58.73,52.67,53.07,30.97,13.07,201,-183.1,24.86,22.79,3.599,1.535,35.17,2.485,1.415,267.2,216.3,6,1.9,44.1,39.3,79.8,86.4,3.5,50,6,143.2,63.7,47.2,40,39,13.66,12.54,11.04,20,0,121.7,116.2,134.5,94.4,2.9,2.9,45,0,100,10,47,56,23.03,55.77,70.48,54.6,53.93,21.32,86.38,236.9,2.759999999999998,2.789999999999992,Normal,100,6
14500,50,56.01,56.1,49.9,49.8,65.31,65.3,70.95,70.4,69.49,65.16,55.7,56.1,63.05,16.3,48.4,-1.655,54.95,52.16,3.589,0.7949,42.5,4.546,0.7734,267.9,215.6,8,3.7,42,37.1,74.1,77.5,5.7,47.8,5.8,110.1,36,40.4,49,47,14.03,6.331,9.926,20,0,112.4,109.4,133.5,95.5,5.3,6.3,50,0,100,80,56,56,52,55.12,62.21,58.45,57.41,55.14,82.72,-20.79,6.109999999999999,5.640000000000001,Normal,100,7
14500,50,56.01,56.1,49.9,50,65.31,64.8,70.91,70.4,69.45,65.16,55.7,56.1,62.55,16.29,47.92,-1.654,54.89,52.1,3.585,0.7941,42.46,4.546,0.7735,267.7,215.4,8.2,3.7,41.6,36.7,74.1,77.5,5.8,47.8,6,110.3,35.7,40.8,49,47,15.51,7.051,9.926,20,0,112.2,109.6,132,94.8,5.3,6.3,50,0,100,80,56,56,45,55.12,62.17,58.41,57.41,55.42,86.01,-23.37,6.109999999999999,5.599999999999994,Normal,100,7
14500,50,55.97,56.1,49.9,50,65.31,65.1,70.91,70.4,69.45,65.16,55.66,56.1,62.45,16.26,47.84,-1.651,54.69,51.89,3.965,1.165,42.49,4.526,0.7769,267.3,216.1,8.2,3.5,41.6,36.9,74.1,77.5,5.5,47.8,6,110.1,36,40.9,49,47,15.23,6.938,9.926,20,0,112,109.4,131.5,93.6,5.3,6.1,50,0,100,80,56,56,48,55.12,62.13,58.45,57.41,55.65,91.38,-22.68,6.07,5.599999999999994,Normal,100,7
14600,50,56.01,56.1,49.9,49.8,65.31,65,70.87,70.6,69.45,65.16,55.7,56.1,62.18,15.85,47.98,-1.656,54.81,52.03,3.58,0.793,42.5,4.534,0.7754,268.1,215.1,8,3.5,41.8,36.9,74.1,77.5,5.7,47.8,5.8,110.1,36,41.1,49,47,16.62,7.601,9.926,20,0,112.2,109.4,133,94.8,5.5,6.1,50,0,100,80,56,56,48,55.12,62.13,58.41,57.41,54.25,85.89,-22.62,6.109999999999999,5.560000000000002,Normal,100,7
14600,50,56.01,56.1,49.9,49.8,65.27,65.1,70.87,70.6,69.45,65.16,55.7,56.1,62.4,15.79,47.8,-1.194,54.88,52.09,3.584,0.7939,42.52,4.537,0.7749,267.1,215.4,8.2,3.5,41.6,36.7,74.1,77.5,5.7,47.8,6,110.3,36,40.9,49,47,16.08,7.328,9.926,20,0,112.2,109.4,134,96.9,5.5,6.1,50,0,100,80,56,56,48,55.12,62.17,58.45,57.41,53.74,82.61,-23.96,6.109999999999999,5.6000000000000085,Normal,100,7
14600,50,55.97,56.1,49.9,49.8,65.31,65.1,70.91,70.8,69.45,65.16,55.7,56.1,62.74,16.34,48.06,-1.659,54.41,51.99,3.578,1.159,42.48,4.504,0.7806,268.5,215,8.2,3.5,41.8,36.9,74.1,77.5,5.7,48,6,110.3,36.2,40.6,49,47,13.18,5.976,9.926,20,0,112.2,109.6,131,93.9,5.7,6.1,50,0,100,80,56,56,48,55.12,62.25,58.45,57.41,54.95,82.46,-21.97,6.07,5.599999999999994,Normal,100,7
14600,50,55.97,56.1,49.9,50,65.31,65.3,70.87,70.6,69.49,65.2,55.7,56.1,62.34,15.44,48.1,-1.202,54.67,52.24,3.595,1.165,42.5,4.522,0.7775,268.8,216,8.3,3.8,41.5,36.6,74.4,78,5.7,47.8,6.2,110.1,35.7,40.8,49,47,15.54,7.091,9.926,20,0,112.4,109.6,133,95.4,5.5,6.1,50,0,100,80,56,56,52,55.12,62.29,58.45,57.41,51.62,82.85,-23.11,6.07,5.560000000000002,Normal,100,7
14600,50,55.97,56.1,49.9,50,65.27,65,70.91,70.8,69.49,65.2,55.7,56.1,62.99,15.83,47.9,-0.7396,54.59,52.16,3.589,1.163,42.56,4.51,0.7797,267.7,215.7,8.2,3.3,41.8,36.9,74.1,77.5,5.7,47.8,6,110.3,36,40.8,49,47,13.01,5.872,9.926,20,0,112.2,109.6,132,94.6,5.7,6.1,50,0,100,80,56,56,48,55.16,62.33,58.45,57.41,52.94,82.73,-23.8,6.07,5.640000000000001,Normal,100,7
14600,50,55.97,56.1,49.9,50,65.31,65.1,70.91,70.6,69.54,65.24,55.7,56.1,62.59,15.39,47.94,-0.7408,54.47,52.05,3.581,1.16,42.48,4.508,0.78,267.9,215.2,8.2,3.6,41.8,36.9,74.4,78,6,47.8,6,110.3,35.9,41.3,49,47,13.93,6.328,9.926,20,0,112,109.4,133,95,5.5,6.1,50,0,100,80,56,56,48,55.12,62.37,58.45,57.41,50.87,82.54,-22.92,6.07,5.599999999999994,Normal,100,7
14600,50,56.01,56.1,49.9,50,65.31,65.1,70.91,70.6,69.49,65.2,55.7,56.1,62.35,15.78,47.76,-1.193,55.09,52.28,3.598,0.7969,42.46,4.562,0.7707,266.8,216.2,8.5,4.1,41.5,36.6,74.7,78.4,5.7,47.8,6,110.3,35.1,41.1,49,47,16.93,7.723,9.926,20,0,112.2,109.2,131.5,93.8,5.6,6.1,50,0,100,80,56,56,48,55.16,62.33,58.49,57.41,52.77,79.79,-25.3,6.109999999999999,5.599999999999994,Normal,100,7
14600,50,55.97,56.1,49.9,49.8,65.31,65.1,70.87,70.8,69.49,65.2,55.7,56.1,62.3,15.43,48.07,-1.201,54.3,51.89,3.571,1.157,42.52,4.49,0.7831,268.6,214.5,8.4,3.3,41.8,36.9,74.1,77.5,6,47.8,6.2,110.1,36.2,40.6,49,47,14.42,6.585,9.926,20,0,112.2,109.4,132.5,94.5,5.7,6.1,50,0,100,80,56,56,48,55.16,62.29,58.45,57.41,51.88,82.3,-21.35,6.07,5.560000000000002,Normal,100,7
